runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
46619,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46640,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46649,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46656,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46657,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46661,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46665,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46667,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46668,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46670,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46676,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46681,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46750,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46751,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46753,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46756,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46759,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46767,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46772,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46775,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46912,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46917,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46918,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46941,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46949,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46951,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46952,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
46967,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47002,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47006,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47007,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47008,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47009,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
